AÑO,MES,DIA,CARBON,NUCLEAR,HIDRAULICA,CICLOCOMBINADO,EOLICA,SOLARTERMICA,SOLARFOTO,COGENERACION,IMPORTACION
2022,ENERO,01,21852,146085.5,62212,120,205055.8,6442,51540.7,107216.2,65531.9
2022,ENERO,02,22033,146095.7,62660.9,62356.8,132892,5060.8,49123.5,118748.9,77085
2022,ENERO,03,22798.9,146093.9,74299.6,118158.9,192213.8,5624.1,50519.2,127239.9,73498.1
2022,ENERO,04,23504,146113.2,88913.7,42007.2,403036.9,3042.6,36611.9,131576.2,5465.9
2022,ENERO,05,24682.8,146160,99873,73464,372159.6,2291.2,37999.2,131229.1,4390.2
2022,ENERO,06,26357.3,146160,92894.1,57839.4,258399,6995,53274.3,133937,4517.3
2022,ENERO,07,26204.6,146160,83827.7,87025.1,280258.6,7544.5,53982.2,134092.3,19047.1
2022,ENERO,08,26080,147218.1,61508,10479.7,287046,6799.1,52280.5,130519.5,53507.8
2022,ENERO,09,13890.9,151351,48505,120,470497.1,5862.6,43045.9,124546.2,1490.2
2022,ENERO,10,25649.1,156367.9,70281.8,133747,338505.4,3960.6,39978.4,135190.1,6232.6
2022,ENERO,11,26592,163975.4,69861.1,187150.8,279241,6556.2,47689.9,137844.5,1510.6
2022,ENERO,12,19391.2,170092,61902.2,192150.2,315702.9,6345.5,54125.1,135908.5,3026.3
2022,ENERO,13,24286,170129.8,101476.1,265549.1,181237,7126.1,51715.4,138288.6,1215.5
2022,ENERO,14,24417.9,170145.2,109896.5,296433.4,138301,7519.1,54010.4,139747.9,0
2022,ENERO,15,26592,170228.2,112464.6,177882,109637.1,7195.1,57872.4,138398.6,17182.3
2022,ENERO,16,26592,167154.3,88570.9,160590.8,99677.1,6704.4,59101.2,131361.4,30082.1
2022,ENERO,17,26592,170445.9,126422,264508.2,101757.8,8435,64670.3,136300.8,8275.9
2022,ENERO,18,26592,170467.7,107915.9,326186.7,72819.4,6211.3,59208.8,132644.3,10048.2
2022,ENERO,19,26591.2,170438.3,95740.5,293787.1,143474.4,8090.6,62838.8,134053.5,13016
2022,ENERO,20,26590.5,170425,80982.2,203929.3,270065.9,8820,62098.7,137279.9,0
